Property_ID,Property_Type,Location,Bedrooms,Bathrooms,Size_sqft,Price_AED,Price_per_sqft,Furnishing,Year_Built,Listing_Date,Amenities,View_Type,Parking_Spaces,Property_Age
DXB00018,Studio,Damac Hills,0,1,489,742791,1519,Furnished,2025,2025-09-22,"Sauna, Pets Allowed, Concierge",Sea View,1,0
DXB00019,Townhouse,The Springs,1,1,1965,2544675,1295,Semi-Furnished,2017,2025-09-06,"Security, Study Room, Storage, Parking",Sea View,2,8
DXB00020,Apartment,Mudon,2,2,1148,1634752,1424,Furnished,2018,2025-09-14,"Swimming Pool, Gym, Steam Room, Storage",City View,3,7
DXB00021,Penthouse,Dubai Silicon Oasis,4,3,4890,5056260,1034,Semi-Furnished,2024,2025-08-26,"Jacuzzi, Pets Allowed, Gym, Study Room, Sauna",Golf Course View,4,1
DXB00022,Studio,JBR (Jumeirah Beach Residence),0,1,448,657216,1467,Semi-Furnished,2016,2025-10-15,"BBQ Area, Security, Steam Room",Marina View,1,9
DXB00023,Studio,JBR (Jumeirah Beach Residence),0,1,517,532510,1030,Furnished,2018,2025-09-19,"Childrens Play Area, Concierge, Jacuzzi",Golf Course View,1,7
DXB00024,Studio,Mirdif,0,1,498,527382,1059,Furnished,2013,2025-08-04,"Sauna, Swimming Pool, Gym, Steam Room, BBQ Area",Garden View,1,12
DXB00025,Villa,Palm Jumeirah,3,3,3462,5694990,1645,Furnished,2021,2025-07-23,"Jacuzzi, Gym, Swimming Pool, Childrens Play Area, Security, BBQ Area, Garden, Steam Room",City View,4,4
DXB00026,Apartment,DIFC,2,2,1381,3103107,2247,Unfurnished,2017,2025-01-05,"Swimming Pool, Maid Room, BBQ Area, Garden, Pets Allowed",Golf Course View,3,8
DXB00027,Studio,Dubai Silicon Oasis,0,1,441,688401,1561,Unfurnished,2018,2025-08-10,"Sauna, BBQ Area, Balcony, Garden, Security, Childrens Play Area",Garden View,1,7
DXB00028,Studio,Mudon,0,1,451,688677,1527,Furnished,2023,2025-02-25,"Balcony, Sauna, Maid Room, Concierge, Study Room, Pets Allowed",Marina View,1,2
DXB00029,Studio,Mirdif,0,1,506,563178,1113,Furnished,2025,2025-02-08,"Gym, Swimming Pool, Storage",Garden View,1,0
DXB00030,Penthouse,Discovery Gardens,5,5,5215,7238420,1388,Furnished,2025,2024-11-27,"Swimming Pool, Concierge, Gym, Steam Room, Childrens Play Area, Balcony, Study Room",Golf Course View,4,0
DXB00031,Villa,Discovery Gardens,4,3,4970,6247290,1257,Unfurnished,2015,2025-05-10,"Childrens Play Area, Steam Room, Swimming Pool, Balcony, Gym, BBQ Area",Marina View,4,10
DXB00032,Apartment,Downtown Dubai,1,1,1040,2283840,2196,Furnished,2024,2025-05-24,"Concierge, Swimming Pool, Steam Room, Study Room, Gym, Maid Room, Storage",Sea View,2,1
DXB00033,Villa,Business Bay,4,3,4852,5094600,1050,Unfurnished,2025,2025-10-12,"Concierge, Sauna, Study Room",Sea View,4,0
DXB00034,Penthouse,Bur Dubai,4,4,4149,4858479,1171,Semi-Furnished,2011,2025-04-27,"Parking, Garden, Balcony, Sauna, Concierge, Maid Room",Golf Course View,4,14
DXB00035,Apartment,Bur Dubai,3,2,1596,2379636,1491,Unfurnished,2021,2025-09-07,"Balcony, Pets Allowed, Swimming Pool",City View,4,4
DXB00036,Penthouse,Arabian Ranches,5,5,4514,4784840,1060,Furnished,2017,2024-11-17,"Concierge, Gym, Pets Allowed, Jacuzzi",Garden View,4,8
DXB00037,Apartment,Dubai Sports City,4,4,2126,4122314,1939,Furnished,2017,2025-03-08,"Concierge, Swimming Pool, Gym, Parking, Garden, Study Room, Storage, Pets Allowed",Sea View,4,8
DXB00038,Apartment,Discovery Gardens,4,3,2026,3681242,1817,Furnished,2025,2025-09-02,"Steam Room, Pets Allowed, Security, Storage, Study Room, Swimming Pool",Sea View,4,0
DXB00039,Apartment,Deira,4,3,1822,2592706,1423,Semi-Furnished,2025,2025-02-17,"Study Room, Security, Balcony, Pets Allowed, Sauna",Golf Course View,4,0
DXB00040,Penthouse,Emirates Hills,4,3,3796,6373484,1679,Furnished,2023,2025-02-28,"Swimming Pool, Gym, BBQ Area, Parking, Steam Room, Maid Room, Security, Storage",Marina View,4,2
DXB00041,Penthouse,Dubai Hills Estate,4,4,4556,7840876,1721,Unfurnished,2022,2025-06-15,"Study Room, Storage, BBQ Area, Gym",Marina View,4,3
DXB00042,Villa,International City,3,3,4224,7945344,1881,Semi-Furnished,2014,2025-03-16,"Childrens Play Area, Storage, Sauna, Study Room, Maid Room, Steam Room",Marina View,4,11
DXB00043,Townhouse,Al Furjan,1,1,1727,2759746,1598,Furnished,2012,2025-06-09,"Sauna, Maid Room, Concierge, Balcony, Study Room, Security, Parking",Garden View,2,13
DXB00044,Apartment,Jumeirah Lake Towers,2,1,1280,2224640,1738,Furnished,2017,2025-08-16,"Gym, Balcony, Storage, Security, Sauna",Marina View,3,8
DXB00045,Penthouse,JBR (Jumeirah Beach Residence),3,3,3755,5148105,1371,Semi-Furnished,2016,2025-10-24,"Childrens Play Area, Parking, BBQ Area, Swimming Pool, Security",Sea View,4,9
DXB00046,Villa,Damac Hills,4,3,4399,8168943,1857,Semi-Furnished,2020,2025-10-06,"Study Room, Swimming Pool, Maid Room, Childrens Play Area, Security, Sauna, Steam Room",City View,4,5
DXB00047,Studio,Town Square,0,1,435,850860,1956,Furnished,2015,2025-04-15,"Storage, Gym, Maid Room, Childrens Play Area, Garden",Sea View,1,10
DXB00048,Villa,Town Square,4,3,4902,9578508,1954,Unfurnished,2017,2025-08-22,"Maid Room, Parking, Steam Room, Storage, Gym, Sauna, Balcony, Study Room",Marina View,4,8
DXB00049,Penthouse,The Greens,3,3,4356,8646660,1985,Unfurnished,2017,2024-12-21,"Concierge, Security, Steam Room, Parking, Pets Allowed, BBQ Area, Maid Room, Study Room",Sea View,4,8
DXB00050,Penthouse,Town Square,5,4,4302,8332974,1937,Unfurnished,2016,2024-11-18,"Swimming Pool, Concierge, Jacuzzi, Gym, Pets Allowed",Marina View,4,9
DXB00051,Villa,Emirates Hills,4,4,4588,10167008,2216,Semi-Furnished,2020,2025-05-07,"Jacuzzi, Security, Steam Room",Golf Course View,4,5
DXB00052,Apartment,Al Furjan,2,2,1484,2640036,1779,Semi-Furnished,2014,2025-04-04,"Parking, Sauna, Maid Room, Balcony, Pets Allowed",Marina View,3,11
DXB00053,Townhouse,Motor City,4,4,2927,3070423,1049,Furnished,2024,2024-11-24,"Parking, Swimming Pool, Sauna, Study Room, Pets Allowed, Concierge, Storage, Garden",Golf Course View,4,1
DXB00054,Studio,The Greens,0,1,402,793146,1973,Unfurnished,2020,2025-06-14,"Steam Room, Pets Allowed, Security, Parking, Gym, Storage, Maid Room, Study Room",Golf Course View,1,5
DXB00055,Penthouse,Bur Dubai,3,2,3764,4528092,1203,Semi-Furnished,2017,2024-12-20,"Parking, Concierge, Gym",City View,4,8
DXB00056,Apartment,JBR (Jumeirah Beach Residence),2,1,1264,1811312,1433,Furnished,2019,2025-10-12,"Gym, Steam Room, Security, Study Room, BBQ Area",Garden View,3,6
DXB00057,Apartment,Motor City,1,1,883,1134655,1285,Semi-Furnished,2016,2025-10-23,"Sauna, Gym, Maid Room, Steam Room",Garden View,2,9
DXB00058,Studio,Motor City,0,1,409,699390,1710,Unfurnished,2021,2025-10-11,"Maid Room, Gym, Concierge, Swimming Pool, Storage, Security",Sea View,1,4
DXB00059,Villa,Jumeirah Lake Towers,6,6,5986,11038184,1844,Furnished,2025,2025-08-02,"Maid Room, BBQ Area, Swimming Pool, Garden, Storage, Childrens Play Area",City View,4,0
DXB00060,Apartment,Dubai Marina,4,3,2123,3235452,1524,Furnished,2022,2025-09-23,"Concierge, Swimming Pool, Jacuzzi, Gym, Parking, Security, Childrens Play Area",City View,4,3
DXB00061,Penthouse,Damac Hills,5,4,4794,5297370,1105,Furnished,2025,2025-10-22,"Pets Allowed, Garden, Childrens Play Area, Security, Storage, Sauna, Balcony, Jacuzzi",Sea View,4,0
DXB00062,Studio,Discovery Gardens,0,1,467,668744,1432,Semi-Furnished,2014,2025-09-05,"Steam Room, Jacuzzi, Parking",City View,1,11
DXB00063,Apartment,Jumeirah Village Circle,2,2,1186,1417270,1195,Semi-Furnished,2025,2025-05-12,"Garden, Maid Room, Jacuzzi, Security, Pets Allowed, Parking, Gym, Balcony",Golf Course View,3,0
DXB00064,Apartment,Arabian Ranches,1,1,1089,2105037,1933,Furnished,2013,2025-10-07,"Study Room, BBQ Area, Swimming Pool, Pets Allowed, Security, Storage",Sea View,2,12
DXB00065,Villa,The Springs,5,4,5471,6406541,1171,Semi-Furnished,2025,2025-09-06,"BBQ Area, Childrens Play Area, Security, Study Room, Maid Room, Steam Room, Pets Allowed",Marina View,4,0
DXB00066,Apartment,Al Furjan,1,1,869,1448623,1667,Furnished,2023,2025-07-13,"Garden, Maid Room, Pets Allowed",Sea View,2,2
DXB00067,Townhouse,Downtown Dubai,3,3,2444,4064372,1663,Unfurnished,2022,2025-08-14,"Steam Room, Pets Allowed, Jacuzzi, Maid Room",Sea View,4,3
DXB00068,Penthouse,Downtown Dubai,5,4,5022,9888318,1969,Unfurnished,2015,2025-06-19,"Concierge, Childrens Play Area, Sauna, Garden, Parking",City View,4,10
DXB00069,Villa,Dubai Marina,3,2,3432,4571424,1332,Semi-Furnished,2021,2024-11-22,"Storage, Concierge, Parking, Garden, Childrens Play Area, Study Room, Gym",City View,4,4
DXB00070,Penthouse,The Springs,3,3,3579,3697107,1033,Unfurnished,2017,2025-09-27,"Swimming Pool, Gym, Balcony, Sauna, Parking, Security, BBQ Area, Study Room",Sea View,4,8
DXB00071,Townhouse,Al Furjan,2,1,2502,4916430,1965,Furnished,2019,2025-04-16,"Parking, Steam Room, Security, Jacuzzi, Gym",City View,3,6
DXB00072,Townhouse,Motor City,4,3,3061,3529333,1153,Semi-Furnished,2019,2025-08-09,"Storage, Balcony, Sauna, Pets Allowed",Golf Course View,4,6
DXB00073,Apartment,Bur Dubai,4,3,1724,1972256,1144,Semi-Furnished,2011,2025-09-08,"Storage, Swimming Pool, Gym, Parking, Childrens Play Area, Security, Sauna, Jacuzzi",Marina View,4,14
DXB00074,Apartment,Mudon,3,2,1762,3335466,1893,Furnished,2015,2025-02-27,"Steam Room, Concierge, Study Room, Childrens Play Area",Golf Course View,4,10
DXB00075,Penthouse,Discovery Gardens,3,2,4328,8344384,1928,Semi-Furnished,2019,2025-02-09,"Swimming Pool, Concierge, BBQ Area, Garden, Storage",Sea View,4,6
DXB00076,Townhouse,Dubai Silicon Oasis,3,2,2406,3139830,1305,Furnished,2018,2025-07-27,"Garden, Childrens Play Area, Storage, Parking, Jacuzzi, Steam Room, Gym",City View,4,7
DXB00077,Studio,The Greens,0,1,491,566123,1153,Semi-Furnished,2023,2025-03-07,"Study Room, Security, BBQ Area, Garden, Storage, Balcony",Garden View,1,2
DXB00078,Penthouse,Discovery Gardens,3,2,4181,5836676,1396,Furnished,2024,2025-05-31,"Pets Allowed, Parking, Security, Gym, Balcony, BBQ Area, Steam Room",Sea View,4,1
DXB00079,Apartment,Dubai Sports City,2,1,1415,2576715,1821,Unfurnished,2011,2025-02-18,"Pets Allowed, Jacuzzi, Study Room, BBQ Area, Parking",Golf Course View,3,14
DXB00080,Studio,Damac Hills,0,1,513,873639,1703,Unfurnished,2017,2025-06-16,"Concierge, Swimming Pool, Jacuzzi",Garden View,1,8
DXB00081,Penthouse,Mudon,4,4,4592,8132432,1771,Furnished,2024,2024-11-05,"BBQ Area, Steam Room, Concierge, Security, Study Room, Sauna",Golf Course View,4,1
DXB00082,Apartment,Bur Dubai,1,1,1127,1356908,1204,Furnished,2020,2025-10-22,"Study Room, Swimming Pool, Steam Room, Storage, Gym, Maid Room, BBQ Area, Balcony",City View,2,5
DXB00083,Villa,Palm Jumeirah,5,5,5240,10144640,1936,Semi-Furnished,2017,2024-12-26,"Pets Allowed, Concierge, Sauna",Sea View,4,8
DXB00084,Penthouse,Jumeirah Village Circle,3,2,3881,4203123,1083,Unfurnished,2024,2024-11-16,"Swimming Pool, Steam Room, Parking, Concierge, Jacuzzi",City View,4,1
DXB00085,Penthouse,Damac Hills,5,4,5295,6142200,1160,Furnished,2016,2025-03-05,"Balcony, Study Room, Security, Sauna, Pets Allowed, Steam Room",Marina View,4,9
DXB00086,Penthouse,Downtown Dubai,4,4,4335,8639655,1993,Furnished,2025,2024-12-01,"Childrens Play Area, Study Room, Jacuzzi",Marina View,4,0
DXB00087,Apartment,Dubai Hills Estate,2,1,1472,1764928,1199,Unfurnished,2016,2025-07-22,"Jacuzzi, Swimming Pool, Storage, Steam Room",Sea View,3,9
DXB00088,Apartment,Arabian Ranches,3,3,1397,1505966,1078,Furnished,2014,2025-04-16,"Maid Room, Balcony, Pets Allowed, Steam Room, Parking, Storage",Garden View,4,11
DXB00089,Penthouse,Dubai Silicon Oasis,4,4,4935,6884325,1395,Semi-Furnished,2011,2025-09-14,"Swimming Pool, Gym, Study Room, Garden, Balcony, Sauna, BBQ Area",Golf Course View,4,14
DXB00090,Apartment,Motor City,1,1,942,1334814,1417,Unfurnished,2020,2025-07-11,"BBQ Area, Security, Study Room, Parking",Golf Course View,2,5
DXB00091,Penthouse,Motor City,5,4,5294,7755710,1465,Furnished,2019,2025-04-11,"BBQ Area, Security, Maid Room, Swimming Pool, Study Room, Storage, Jacuzzi",Golf Course View,4,6
DXB00092,Studio,Town Square,0,1,463,477353,1031,Unfurnished,2024,2025-01-20,"BBQ Area, Swimming Pool, Gym, Study Room, Parking",Golf Course View,1,1
DXB00093,Townhouse,Deira,4,4,3446,5096634,1479,Furnished,2021,2025-09-19,"Swimming Pool, Jacuzzi, Pets Allowed",Sea View,4,4
DXB00094,Villa,The Greens,5,5,5076,9380448,1848,Semi-Furnished,2015,2025-10-01,"Jacuzzi, Concierge, Garden, Balcony, Swimming Pool, Study Room",Sea View,4,10
DXB00095,Townhouse,Al Furjan,2,2,1955,3493585,1787,Unfurnished,2024,2025-02-14,"Maid Room, Childrens Play Area, Storage, Parking, Security",Garden View,3,1
DXB00096,Apartment,International City,1,1,977,1289640,1320,Unfurnished,2019,2024-12-14,"Balcony, Swimming Pool, BBQ Area",Marina View,2,6
DXB00097,Townhouse,Dubai Silicon Oasis,1,1,1643,2137543,1301,Unfurnished,2012,2024-12-16,"BBQ Area, Parking, Balcony, Steam Room, Sauna, Study Room, Storage, Maid Room",Garden View,2,13
DXB00098,Apartment,Dubai Sports City,2,2,1241,2084880,1680,Furnished,2022,2025-06-17,"Swimming Pool, Gym, Parking, Security, Garden, Balcony",Golf Course View,3,3
DXB00099,Apartment,Downtown Dubai,3,2,1414,2514092,1778,Furnished,2013,2025-07-18,"Study Room, Pets Allowed, Jacuzzi, Concierge, Steam Room, Security, BBQ Area, Swimming Pool",Garden View,4,12
DXB00100,Penthouse,Al Furjan,3,3,3445,4805775,1395,Furnished,2021,2025-04-04,"Balcony, Garden, BBQ Area, Steam Room, Study Room",Marina View,4,4
DXB00101,Townhouse,DIFC,3,3,3025,5387525,1781,Unfurnished,2014,2024-12-19,"Swimming Pool, Maid Room, Balcony, Parking, Childrens Play Area, Gym",City View,4,11
DXB00102,Studio,Dubai Hills Estate,0,1,490,868280,1772,Unfurnished,2021,2025-08-24,"Jacuzzi, Maid Room, Sauna",Garden View,1,4
DXB00103,Townhouse,Mudon,2,1,2242,4093892,1826,Semi-Furnished,2021,2024-11-12,"Swimming Pool, Concierge, Study Room, Jacuzzi, Gym, Maid Room, Storage, Balcony",Garden View,3,4
DXB00104,Apartment,Jumeirah Lake Towers,3,2,1706,2883140,1690,Unfurnished,2019,2025-03-16,"Pets Allowed, Maid Room, Balcony, Childrens Play Area, Gym, Study Room, Concierge, BBQ Area",Golf Course View,4,6
DXB00105,Apartment,Mudon,1,1,1138,1918668,1686,Unfurnished,2025,2025-09-12,"Sauna, Concierge, Gym, Security, Pets Allowed, Garden, Jacuzzi, Steam Room",City View,2,0
DXB00106,Studio,Downtown Dubai,0,1,476,1134308,2383,Unfurnished,2018,2025-05-20,"Pets Allowed, Steam Room, Sauna, Garden, Gym, BBQ Area",Garden View,1,7
DXB00107,Townhouse,Downtown Dubai,3,2,2708,5906148,2181,Semi-Furnished,2012,2025-04-10,"Jacuzzi, Security, Maid Room, Parking, Storage, Balcony, BBQ Area",Garden View,4,13
DXB00108,Penthouse,Deira,4,4,4879,9596993,1967,Furnished,2023,2025-01-17,"Security, Pets Allowed, Gym, Parking, Concierge, BBQ Area, Balcony, Jacuzzi",Sea View,4,2
DXB00109,Villa,The Greens,6,6,5430,6738630,1241,Unfurnished,2020,2025-05-26,"Swimming Pool, Childrens Play Area, Concierge, Security, Jacuzzi, Gym",City View,4,5
DXB00110,Studio,The Springs,0,1,457,747195,1635,Semi-Furnished,2013,2025-01-18,"Swimming Pool, Jacuzzi, Study Room, Childrens Play Area, BBQ Area, Gym",Golf Course View,1,12
DXB00111,Townhouse,DIFC,2,2,2140,3415440,1596,Semi-Furnished,2024,2025-03-04,"Garden, Parking, Steam Room, Security",Sea View,3,1
DXB00112,Penthouse,Jumeirah Village Circle,5,5,5699,7853222,1378,Semi-Furnished,2023,2025-05-15,"Swimming Pool, Maid Room, Gym, Childrens Play Area, Pets Allowed, Garden",Sea View,4,2
DXB00113,Penthouse,Palm Jumeirah,3,3,4352,8068608,1854,Unfurnished,2020,2025-10-07,"Jacuzzi, Parking, Concierge",Marina View,4,5
DXB00114,Townhouse,Palm Jumeirah,1,1,1835,3288320,1792,Semi-Furnished,2015,2025-01-21,"Storage, Security, Maid Room, Study Room, Parking, Jacuzzi, Balcony",Marina View,2,10
DXB00115,Apartment,Dubai Marina,3,2,1669,2224777,1333,Furnished,2020,2024-11-10,"Gym, Pets Allowed, Security, Concierge, Storage, Sauna",Marina View,4,5
DXB00116,Villa,Business Bay,5,4,5089,7862505,1545,Unfurnished,2019,2025-04-15,"Storage, Balcony, Swimming Pool",Marina View,4,6
DXB00117,Apartment,Dubai Hills Estate,1,1,929,1530063,1647,Furnished,2013,2025-09-26,"Storage, Study Room, Concierge",City View,2,12
DXB00118,Studio,Dubai Silicon Oasis,0,1,420,721140,1717,Furnished,2022,2025-09-11,"Pets Allowed, Security, Garden",Golf Course View,1,3
DXB00119,Penthouse,Bur Dubai,4,4,4370,6572480,1504,Furnished,2023,2025-09-07,"Gym, Childrens Play Area, Study Room, Concierge, Parking, Steam Room, Garden",Garden View,4,2
DXB00120,Apartment,Mirdif,3,3,1684,2472112,1468,Unfurnished,2014,2025-03-23,"Balcony, Swimming Pool, Study Room, BBQ Area, Concierge",Sea View,4,11
DXB00121,Studio,The Greens,0,1,497,934857,1881,Semi-Furnished,2025,2025-01-20,"Swimming Pool, Concierge, Gym, Jacuzzi",Garden View,1,0
DXB00122,Studio,Emirates Hills,0,1,393,666528,1696,Furnished,2011,2025-09-23,"BBQ Area, Maid Room, Garden, Security, Jacuzzi",Marina View,1,14
DXB00123,Studio,Palm Jumeirah,0,1,444,788100,1775,Unfurnished,2022,2024-12-13,"Swimming Pool, Jacuzzi, Maid Room, Sauna",Garden View,1,3
DXB00124,Villa,Deira,6,6,6182,10466126,1693,Furnished,2021,2025-08-22,"Swimming Pool, Gym, Steam Room, Storage",City View,4,4
DXB00125,Townhouse,Motor City,3,2,2615,4861285,1859,Furnished,2019,2024-12-19,"Concierge, Security, Balcony, Childrens Play Area",Golf Course View,4,6
DXB00126,Townhouse,Bur Dubai,4,3,2664,2693304,1011,Furnished,2023,2025-02-15,"Jacuzzi, Sauna, Concierge, Security, Maid Room, Swimming Pool, Gym",Golf Course View,4,2
DXB00127,Penthouse,Damac Hills,5,5,5190,7208910,1389,Unfurnished,2012,2025-01-09,"BBQ Area, Swimming Pool, Security, Gym, Steam Room, Maid Room, Study Room",Golf Course View,4,13
DXB00128,Townhouse,DIFC,1,1,1958,3483282,1779,Unfurnished,2013,2024-12-16,"Concierge, Gym, Study Room, BBQ Area, Balcony, Pets Allowed, Storage, Steam Room",Golf Course View,2,12
DXB00129,Apartment,The Greens,1,1,1075,1360950,1266,Semi-Furnished,2013,2025-06-15,"Swimming Pool, Pets Allowed, Garden, Study Room",Marina View,2,12
DXB00130,Studio,Dubai Sports City,0,1,442,694382,1571,Unfurnished,2013,2024-12-01,"Concierge, Sauna, Gym, Garden",Marina View,1,12
DXB00131,Apartment,JBR (Jumeirah Beach Residence),2,2,1370,1402880,1024,Semi-Furnished,2018,2025-08-22,"Jacuzzi, Sauna, Storage, Concierge, Swimming Pool",Marina View,3,7
DXB00132,Studio,Damac Hills,0,1,492,639600,1300,Furnished,2016,2025-08-27,"Maid Room, Garden, Security",City View,1,9
DXB00133,Apartment,The Springs,2,2,1491,2129148,1428,Semi-Furnished,2014,2025-01-13,"Balcony, Concierge, Maid Room, Swimming Pool",Marina View,3,11
DXB00134,Apartment,Motor City,4,3,2093,2191371,1047,Semi-Furnished,2011,2024-11-21,"Study Room, Swimming Pool, BBQ Area, Gym, Balcony, Garden",Marina View,4,14
DXB00135,Studio,Mudon,0,1,471,656574,1394,Semi-Furnished,2019,2024-11-11,"Maid Room, Gym, Childrens Play Area",Sea View,1,6
DXB00136,Villa,DIFC,4,3,4801,10663021,2221,Semi-Furnished,2015,2025-06-25,"Study Room, Swimming Pool, Gym",Sea View,4,10
DXB00137,Penthouse,Bur Dubai,4,3,4489,4978301,1109,Unfurnished,2013,2025-10-24,"Sauna, Swimming Pool, Concierge, Garden, Steam Room",Sea View,4,12
DXB00138,Studio,Emirates Hills,0,1,426,889914,2089,Unfurnished,2024,2025-04-10,"Storage, Gym, Steam Room, Childrens Play Area",Golf Course View,1,1
DXB00139,Townhouse,DIFC,4,3,3555,7216650,2030,Unfurnished,2014,2025-05-21,"Concierge, Sauna, Study Room",Golf Course View,4,11
DXB00140,Apartment,Dubai Hills Estate,2,1,1282,2266576,1768,Semi-Furnished,2014,2025-04-10,"Steam Room, Jacuzzi, Maid Room, Pets Allowed, Childrens Play Area, Security",Sea View,3,11
DXB00141,Villa,The Springs,3,3,4402,7716706,1753,Semi-Furnished,2021,2025-03-18,"Swimming Pool, Sauna, Jacuzzi",Garden View,4,4
DXB00142,Townhouse,The Springs,3,3,2935,3184475,1085,Furnished,2019,2025-04-17,"Garden, Gym, Swimming Pool, Parking",Garden View,4,6
DXB00143,Studio,Jumeirah Lake Towers,0,1,487,641866,1318,Semi-Furnished,2011,2025-05-05,"Concierge, Sauna, Steam Room, BBQ Area, Security",Golf Course View,1,14
DXB00144,Penthouse,JBR (Jumeirah Beach Residence),3,3,3783,6911541,1827,Semi-Furnished,2014,2025-01-17,"Steam Room, Security, Concierge, Garden, Storage, Study Room, Balcony, Childrens Play Area",Sea View,4,11
DXB00145,Studio,DIFC,0,1,449,973881,2169,Semi-Furnished,2023,2025-02-16,"Maid Room, Garden, Steam Room, Jacuzzi, Childrens Play Area, Concierge",Marina View,1,2
DXB00146,Apartment,Discovery Gardens,3,3,1828,2765764,1513,Unfurnished,2018,2025-10-18,"BBQ Area, Garden, Jacuzzi",City View,4,7
DXB00147,Studio,Palm Jumeirah,0,1,402,779076,1938,Furnished,2011,2025-08-09,"Security, Steam Room, Parking, Childrens Play Area, Jacuzzi, Gym",Marina View,1,14
DXB00148,Penthouse,International City,4,4,4279,4869502,1138,Semi-Furnished,2021,2025-10-13,"Steam Room, Pets Allowed, Jacuzzi",Golf Course View,4,4
DXB00149,Penthouse,Bur Dubai,3,2,4110,7850100,1910,Furnished,2017,2025-07-16,"Jacuzzi, Balcony, Swimming Pool, Security, Storage, Gym, Parking",City View,4,8
DXB00150,Townhouse,Arabian Ranches,4,4,3194,3816830,1195,Semi-Furnished,2017,2025-04-06,"Garden, Security, BBQ Area, Concierge, Maid Room, Balcony, Pets Allowed",Golf Course View,4,8
DXB00151,Studio,JBR (Jumeirah Beach Residence),0,1,486,897156,1846,Semi-Furnished,2017,2024-12-10,"Maid Room, Gym, Study Room, Storage, Security, Sauna",Marina View,1,8
DXB00152,Townhouse,Dubai Sports City,1,1,1847,2543319,1377,Furnished,2011,2025-01-25,"Parking, Study Room, Concierge, Pets Allowed, Gym",Garden View,2,14
DXB00153,Studio,Mirdif,0,1,502,564750,1125,Furnished,2022,2024-11-26,"Study Room, Swimming Pool, BBQ Area, Steam Room, Gym, Concierge",City View,1,3
